course_number,course_sequence_number,course_name,teacher,course_category,course_properties,exam_type,unit,campus,class_day,class_sessions,classroom,week_description
00610372,06,中国纺织类非物质文化遗产赏析（慕课）,尹艳冰* 马涛 王晓红 ,3通识选修课,任选,考试,2.0,西区,4.0,9.0,D101,第2周
03610162,01,战争与谋略：第二次世界大战经典战役评析（慕课）,赵津礼* ,3通识选修课,任选,考试,2.0,东区,1.0,9.0,A301,第2周
11670402,01,信号处理基础,李雪松* ,1专业课,任选,考试,2.0,北区,3.0,9.0,101,1-15周
11674503,01,编译原理,张晶* ,1专业课,必修,考试,3.0,北区,1.0,7.0,204,1-16周单周
11614503,02,操作系统,姚清爽* ,1专业课,必修,考试,3.0,北区,1.0,3.0,202,1-15周
11672402,02,人工智能数学基础,张花艳* ,1专业课,限选,考试,2.0,北区,1.0,5.0,309,1-15周
11674403,01,算法设计与分析*,陈科* ,1专业课,必修,考试,3.0,北区,1.0,1.0,101,1-14周双周
11614513,01,计算机网络,郭景* ,1专业课,必修,考试,3.0,北区,3.0,1.0,109,1-16周双周
11620201,01,基础开发劳动教育实习,黄艳丽* ,1专业课,必修,考查,1.0,,,,,
11674231,01,基础开发实习,黄艳丽* ,1专业课,必修,考查,1.0,,,,,
12200041S05,09,羽毛球,薛松* ,2公共必修课,任选,,1.0,东区,3.0,5.0,100100羽2区8-15           ,1-16周
15500022,01,科研方法论,贾云玲* 王志芳 张昊 ,1专业课,必修,,2.0,东区,4.0,7.0,B405,2-16周
13520022,01,电子实践,杜启飞* 赵林 ,2公共必修课,必修,考试,2.0,东区,2.0,5.0,A311,4-14周
10750462,01,学术演讲,杨菲* ,2公共必修课,必修,,2.0,西区,5.0,5.0,217,1-17周
15500092A1,01,荣誉科研项目研究与实践（开题 ）,李静* 杜玉红 魏黎 ,1专业课,必修,,0.5,,,,,
11711143,03,毛泽东思想和中国特色社会主义理论体系概论,原平* ,2公共必修课,必修,考试,3.0,东区,3.0,3.0,A409,"1-2,5-14周"
11711062A4,32,形势与政策A4,原平* ,2公共必修课,必修,考试,0.25,北区,2.0,3.0,110,5-8周
